icao24,origin_country,velocity,on_ground
801772,India,218.47,False
801778,India,118.07,False
a1a0c4,United States,192.82,False
aa44ad,United States,201.98,False
3c6595,Germany,0.0,True
3c6594,Germany,216.69,False
a34358,United States,210.63,False
3c6599,Germany,187.84,False
ac97e4,United States,254.53,False
39d314,France,191.61,False
407b2c,United Kingdom,65.93,False
39d317,France,178.31,False
39d318,France,224.83,False
39d319,France,238.73,False
a76cba,United States,4.89,True
80172c,India,176.24,False
aa57e6,United States,0.0,True
408228,United Kingdom,180.72,False
408229,United Kingdom,234.72,False
39d312,France,205.47,False
801741,India,150.55,False
801743,India,138.02,False
a9f164,United States,133.46,False
c07e62,Canada,201.96,False
4690fa,Greece,210.92,False
4402a3,Austria,89.89,False
710411,Saudi Arabia,286.44,False
408213,United Kingdom,224.15,False
3dd54f,Germany,53.75,False
a7e9e4,United States,206.91,False
ad9db8,United States,168.43,False
a7e9e7,United States,226.82,False
a9ea96,United States,258.85,False
7c49fb,Australia,0.0,True
39d30d,France,222.46,False
39d30e,France,232.28,False
8a01af,Indonesia,232.71,False
801753,India,117.29,False
a1acdb,United States,190.65,False
00c45f,South Africa,121.48,False
00c45d,South Africa,236.23,False
39d30a,France,108.4,False
3c6548,Germany,243.89,False
e49329,Brazil,226.47,False
4690e9,Greece,249.74,False
aae465,United States,243.03,False
abfd66,United States,236.06,False
3c7878,Germany,224.14,False
3c7879,Germany,199.32,False
4690e4,Greece,235.94,False
3c6549,Germany,85.2,False
a390ed,United States,220.82,False
4690e2,Greece,212.52,False
4b5da7,Switzerland,4.89,True
4b5da4,Switzerland,0.13,True
e49f78,Brazil,66.92,False
4b5da8,Switzerland,0.0,True
abadf9,United States,259.4,False
407b8f,United Kingdom,94.49,False
4b5da3,Switzerland,8.75,True
aba1a0,United States,207.68,False
4b5da1,Switzerland,3.34,True
39e68b,France,211.06,False
e49f5b,Brazil,161.25,False
e49f5a,Brazil,153.86,False
40826a,United Kingdom,139.09,False
3c6544,Germany,179.61,False
3c6542,Germany,172.84,False
3430cc,Spain,216.86,False
3c654d,Germany,3.6,True
3c787a,Germany,242.41,False
3c654a,Germany,228.74,False
408276,United Kingdom,74.22,False
ab9a5b,United States,259.49,False
7c6c96,Australia,78.4,False
e49330,Brazil,56.0,False
4690ea,Greece,145.78,False
3c4b2c,Germany,278.08,False
3cc83d,Germany,0.0,True
a8dd7b,United States,219.95,False
800449,India,9.77,True
ab048d,United States,227.96,False
801785,India,2.31,True
4a2aac,Romania,225.97,False
ae01b0,United States,101.68,False
3c6561,Germany,226.41,False
778823,Syrian Arab Republic,171.55,False
c02eb9,Canada,256.4,False
3c6566,Germany,5.66,True
80177c,India,126.07,False
ac0a75,United States,183.51,False
a4634b,United States,175.8,False
acd4d7,United States,204.5,False
80177e,India,135.77,False
39e698,France,217.58,False
e49f59,Brazil,98.67,False
40823f,United Kingdom,233.18,False
800463,India,244.85,False
3d35ce,Germany,68.76,False
39e691,France,0.0,True
a3ecce,United States,0.0,True
801798,India,103.82,False
3c6572,Germany,12.35,True
3c6571,Germany,232.83,False
3443cc,Spain,16.46,False
40823c,United Kingdom,257.28,False
ac71e7,United States,0.0,True
800460,India,236.21,False
e49314,Brazil,152.43,False
40823d,United Kingdom,241.27,False
758403,Philippines,121.43,False
3443d4,Spain,229.38,False
addb47,United States,235.64,False
3443d3,Spain,208.65,False
c0104f,Canada,254.23,False
380e1a,France,0.0,True
a8dcee,United States,228.66,False
3c64a1,Germany,238.77,False
a94c7b,United States,267.54,False
3c5db0,Germany,240.14,False
80047c,India,244.52,False
e491b0,Brazil,225.43,False
4aca04,Sweden,8.75,True
3c64b0,Germany,82.75,False
4aca06,Sweden,245.95,False
4aca05,Sweden,88.49,False
3c64a5,Germany,187.7,False
aa7a83,United States,183.01,False
3c64a3,Germany,237.56,False
ade252,United States,78.48,False
3c64af,Germany,235.89,False
3c64ac,Germany,146.26,False
0a0045,Algeria,212.25,False
4aca14,Sweden,224.39,False
addb4a,United States,167.58,False
4aca0b,Sweden,220.08,False
4aca0a,Sweden,157.05,False
3c64aa,Germany,219.35,False
4080f7,United Kingdom,234.3,False
a1ae05,United States,172.41,False
0a008e,Algeria,236.33,False
0a008f,Algeria,218.33,False
0a008c,Algeria,238.49,False
0a008b,Algeria,237.82,False
a1fbd4,United States,65.54,False
a27e80,United States,45.51,False
0a0093,Algeria,127.45,False
a40e41,United States,14.92,True
710415,Saudi Arabia,221.92,False
710413,Saudi Arabia,194.27,False
45ccb3,Denmark,226.25,False
4aca75,Sweden,0.0,True
a6f326,United States,178.52,False
440325,Austria,271.02,False
a773bd,United States,9.26,True
4aca6b,Sweden,155.48,False
7c1ca5,Australia,140.4,False
a02b97,United States,1.15,False
e491f0,Brazil,223.46,False
a1a203,United States,237.57,False
02a1ac,Tunisia,243.36,False
e491f1,Brazil,225.36,False
0a0078,Algeria,239.99,False
02a1aa,Tunisia,262.3,False
02a1ab,Tunisia,242.77,False
0a0079,Algeria,241.83,False
e02659,Argentina,189.74,False
471fa9,Hungary,99.5,False
4aca46,Sweden,239.42,False
aa7a3c,United States,190.85,False
440352,Austria,240.65,False
a28545,United States,57.25,False
7c7f31,Australia,0.0,True
02a1b3,Tunisia,252.24,False
471fa5,Hungary,187.9,False
0a0074,Algeria,237.84,False
471fa0,Hungary,196.02,False
44034b,Austria,237.44,False
471faa,Hungary,193.13,False
50032b,San Marino,88.69,False
aa2abc,United States,191.06,False
471fae,Hungary,233.9,False
0a007a,Algeria,158.88,False
ab64b8,United States,250.31,False
c02358,Canada,161.1,False
46b927,Greece,248.89,False
4bb4e7,Turkey,214.49,False
8015c5,India,175.7,False
a52e76,United States,81.71,False
ac9850,United States,9.26,True
aa4548,United States,237.52,False
8015c7,India,205.34,False
a51b58,United States,220.69,False
8015d3,India,4.37,True
ac48f2,United States,204.73,False
782126,China,192.78,False
a2d573,United States,238.7,False
3cc7fe,Germany,220.69,False
873356,Japan,257.01,False
e0744e,Argentina,145.05,False
0180ab,Libyan Arab Jamahiriya,228.66,False
8015ca,India,87.04,False
8a0378,Indonesia,209.81,False
84c068,Japan,215.24,False
75847f,Philippines,9.26,False
a38b61,United States,0.0,True
8015d8,India,191.65,False
ac22a8,United States,172.45,False
781a4b,China,3.64,False
8015a7,India,252.86,False
a39e6b,United States,0.0,True
8015a6,India,74.6,False
702c24,Bangladesh,61.84,False
8a034e,Indonesia,225.26,False
782149,China,91.19,False
782148,China,174.91,False
39e4ac,France,244.36,False
873378,Japan,234.44,False
44d9b6,Belgium,59.44,False
896c3d,United Arab Emirates,61.51,False
038656,Côte d'Ivoire,296.88,False
aaa893,United States,136.82,False
4a08e9,Romania,242.03,False
885311,Thailand,235.45,False
782159,China,146.06,False
4080df,United Kingdom,218.82,False
0a0019,Algeria,238.31,False
4a08e6,Romania,217.04,False
494116,Portugal,6.94,True
4080e9,United Kingdom,211.44,False
769103,Singapore,238.41,False
494112,Portugal,204.84,False
769104,Singapore,226.15,False
885307,Thailand,231.77,False
4080e4,United Kingdom,216.26,False
abae62,United States,225.94,False
885306,Thailand,234.61,False
4080e1,United Kingdom,223.53,False
4080e2,United Kingdom,207.19,False
896c15,United Arab Emirates,118.77,False
0d115a,Mexico,214.14,False
885301,Thailand,247.04,False
a39289,United States,0.0,True
0a0024,Algeria,243.41,False
4080e0,United Kingdom,185.61,False
758453,Philippines,216.0,False
e491a1,Brazil,225.32,False
e491a2,Brazil,248.93,False
e491a3,Brazil,238.14,False
e49dde,Brazil,176.09,False
86d6c8,Japan,219.79,False
4b28b1,Switzerland,65.96,False
ab5e9b,United States,197.39,False
abb54f,United States,97.13,False
4080bf,United Kingdom,229.35,False
a057a6,United States,119.0,False
8015e5,India,219.5,False
34324f,Spain,212.42,False
3c64f7,Germany,226.95,False
aa580e,United States,203.79,False
4080bb,United Kingdom,239.38,False
3c64f5,Germany,236.97,False
4080c2,United Kingdom,225.73,False
0180a0,Libyan Arab Jamahiriya,264.59,False
ad9e73,United States,253.64,False
e49dbb,Brazil,97.61,False
88530d,Thailand,148.42,False
8015ef,India,178.73,False
4a08ea,Romania,245.99,False
4a08ec,Romania,238.01,False
4a08eb,Romania,0.0,True
a45bdd,United States,0.0,True
3c64ef,Germany,239.46,False
885313,Thailand,236.66,False
782191,China,246.18,False
728674,Iraq,256.87,False
861ed6,Japan,212.81,False
e48b65,Brazil,232.2,False
4bc855,Turkey,239.2,False
4bc852,Turkey,165.9,False
728678,Iraq,214.68,False
a8de7d,United States,182.37,False
c06a76,Canada,129.04,False
4bc84e,Turkey,222.18,False
4bc84f,Turkey,266.42,False
4bc84c,Turkey,245.28,False
51108d,Estonia,62.19,False
4bc84a,Turkey,232.14,False
4bc84b,Turkey,227.77,False
4401e4,Austria,165.37,False
4bc85a,Turkey,226.25,False
e4924a,Brazil,174.25,False
34454b,Spain,207.5,False
861ebc,Japan,214.85,False
344557,Spain,194.56,False
7103db,Saudi Arabia,223.1,False
7103da,Saudi Arabia,113.81,False
0d1138,Mexico,213.5,False
0d1139,Mexico,219.18,False
a15de5,United States,206.62,False
4401d4,Austria,217.9,False
702066,Bangladesh,218.09,False
0d112a,Mexico,211.71,False
3c6648,Germany,5.66,True
c06a7f,Canada,223.62,False
4b15ed,Switzerland,199.2,False
4b15ee,Switzerland,227.79,False
3d7306,Germany,85.52,False
e49220,Brazil,93.45,False
e49221,Brazil,235.04,False
3c6643,Germany,12.35,True
a87b8a,United States,172.36,False
40816f,United Kingdom,68.06,False
ad4395,United States,205.57,False
3c6655,Germany,106.18,False
4bc849,Turkey,224.54,False
4bc847,Turkey,115.26,False
4bc848,Turkey,232.46,False
