date,open,high,low,close,volume,day,month,year,day_name,month_name,daily_return_pct,intraday_volatility_pct
2002-11-01,75.15,80.5,74.2,80.4,56125400,1,11,2002,Friday,November,6.986027944111776,8.383233532934128
2002-11-08,81.99,83.81,77.2,77.59,52109900,8,11,2002,Friday,November,-5.366508110745203,8.061958775460422
2002-11-15,77.59,80.99,76.7,80.01,49429400,15,11,2002,Friday,November,3.118958628689266,5.529063023585503
2002-11-22,80.8,85.17,77.84,84.43,45101100,22,11,2002,Friday,November,4.492574257425755,9.07178217821782
2002-11-29,84.63,88.11,83.52,86.92,28402500,29,11,2002,Friday,November,2.7058962542833584,5.4236086494151055
2002-12-06,88.6,89.46,81.07,82.32,41270300,6,12,2002,Friday,December,-7.088036117381491,9.469525959367948
2002-12-13,81.0,82.48,78.27,80.0,37355200,13,12,2002,Friday,December,-1.2345679012345678,5.197530864197541
2002-12-20,79.6,81.79,78.24,79.79,36539200,20,12,2002,Friday,December,0.23869346733669844,4.459798994974888
2002-12-27,79.75,81.5,76.61,77.36,20460800,27,12,2002,Friday,December,-2.9968652037617565,6.131661442006271
2003-01-03,77.0,81.65,75.6,81.65,29764800,3,1,2003,Friday,January,6.038961038961046,7.857142857142872
2003-01-10,81.9,88.04,81.81,87.68,50004000,10,1,2003,Friday,January,7.057387057387059,7.606837606837612
2003-01-17,88.31,88.95,81.18,81.3,53450200,17,1,2003,Friday,January,-7.937945872494627,8.798550560525417
2003-01-24,81.3,81.85,78.82,78.99,34478700,24,1,2003,Friday,January,-2.8413284132841357,3.726937269372695
2003-01-31,77.99,81.3,77.02,78.2,42173800,31,1,2003,Friday,January,0.26926529042185915,5.487883061931019
2003-02-07,78.2,78.9,76.25,77.1,37378500,7,2,2003,Friday,February,-1.4066496163682973,3.388746803069061
2003-02-14,77.1,78.97,74.31,77.45,41674400,14,2,2003,Friday,February,0.4539559014267296,6.044098573281449
2003-02-21,78.02,80.05,77.91,79.95,26970500,21,2,2003,Friday,February,2.4737246859779636,2.7428864393745203
2003-02-28,79.7,79.99,76.75,77.95,39649300,28,2,2003,Friday,February,-2.1957340025094103,4.06524466750313
2003-03-07,78.9,79.0,75.71,77.9,32954000,7,3,2003,Friday,March,-1.2674271229404308,4.169835234474025
2003-03-14,77.45,79.48,73.17,79.0,48104400,14,3,2003,Friday,March,2.0012911555842443,8.147191736604263
2003-03-21,78.0,84.9,77.84,84.9,58133300,21,3,2003,Friday,March,8.846153846153854,9.051282051282055
2003-03-28,82.46,84.0,80.5,80.85,42576300,28,3,2003,Friday,March,-1.9524617996604408,4.244482173174873
2003-04-04,79.26,83.48,78.12,80.79,46339300,4,4,2003,Friday,April,1.9303557910673743,6.762553620994195
2003-04-11,82.6,82.9,78.13,78.75,39935800,11,4,2003,Friday,April,-4.661016949152535,5.7748184019370585
2003-04-17,78.5,84.4,78.16,84.26,42212300,17,4,2003,Thursday,April,7.337579617834401,7.949044585987272
2003-04-25,84.4,86.06,82.6,83.88,36064700,25,4,2003,Friday,April,-0.6161137440758415,4.09952606635072
2003-05-02,84.05,87.57,83.62,87.57,39359000,2,5,2003,Friday,May,4.187983343248062,4.699583581201653
2003-05-09,87.2,88.34,85.75,87.55,35257500,9,5,2003,Friday,May,0.40137614678898426,2.970183486238536
2003-05-16,87.55,90.4,87.1,88.99,38800700,16,5,2003,Friday,May,1.6447744146202143,3.7692747001713443
2003-05-23,88.05,88.47,84.89,85.26,32835800,23,5,2003,Friday,May,-3.1686541737648977,4.065871663827369
2003-05-30,84.51,88.7,84.51,88.04,26786400,30,5,2003,Friday,May,4.177020470950184,4.957993136906872
2003-06-06,89.0,89.08,79.84,80.05,69955400,6,6,2003,Friday,June,-10.056179775280901,10.382022471910107
2003-06-13,80.0,84.98,79.81,82.75,41268000,13,6,2003,Friday,June,3.4375000000000004,6.462500000000001
2003-06-20,83.1,85.29,82.55,84.92,37484300,20,6,2003,Friday,June,2.190132370637795,3.2972322503008535
2003-06-27,84.79,84.79,82.09,83.42,27829700,27,6,2003,Friday,June,-1.6157565750678198,3.1843377756810973
2003-07-03,83.9,84.89,81.4,83.95,22755900,3,7,2003,Thursday,July,0.05959475566149839,4.159713945172818
2003-07-11,84.8,86.75,83.47,84.89,32242400,11,7,2003,Friday,July,0.10613207547170214,3.867924528301888
2003-07-18,86.0,87.03,82.5,83.72,45286100,18,7,2003,Friday,July,-2.6511627906976756,5.267441860465118
2003-07-25,83.2,83.74,81.51,83.55,33171000,25,7,2003,Friday,July,0.42067307692307004,2.6802884615384492
